ticket_id,customer_id,product_id,date_of_purchase,ticket_type,ticket_subject,ticket_description,ticket_status,resolution,priority,channel,first_response_time,time_to_resolution,rating
08001,07870,00034,2020-08-26,Cancellation request,Refund request,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? I haven't set anything up yet, and I still have a lot of I've checked for any available software updates for my {product_purchased}, but there are none.",Open,,Critical,Social media,,,
08002,07871,00038,2021-07-11,Product inquiry,Product setup,"I'm having an issue with the {product_purchased}. Please assist. The product is sold as a product to the purchaser.

The product is sold as a product to the purchaser. You will have 2 options when creating the order I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Closed,Series key shoulder bar real.,High,Chat,2023-06-01 08:53:32,2023-06-01 07:02:32,2.0
08003,07872,00030,2020-06-06,Cancellation request,Peripheral compatibility,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

Currently, we maintain all updates, as well as a small I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Closed,Approach bit tend history simply more hotel cultural.,Critical,Email,2023-06-01 18:23:33,2023-06-01 20:41:33,3.0
08004,07873,00026,2020-04-23,Technical issue,Display issue,"There seems to be a glitch in the {product_purchased} software. It freezes frequently, making it difficult to use. Can you please provide a solution? {Product} is not available anymore... {Purchased} was a good This problem started occurring after the recent software update. I haven't made any other changes to the device.",Pending Customer Response,,Medium,Email,2023-06-01 13:28:33,,
08005,07874,00042,2021-12-23,Refund request,Account access,"I'm having an issue with the {product_purchased}. Please assist. "" — Dr. James C. ""Trent"" L. ""Trent"" B. ""Trent"" A. ""Lorraine"" ""Lor I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Pending Customer Response,,Low,Chat,2023-06-01 15:20:35,,
08006,07875,00022,2021-05-06,Refund request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.

Your product might be purchased as a gift, a personal investment, or a commercial gift. The purchase is complete and not required. Please contact your local bank This problem started occurring after the recent software update. I haven't made any other changes to the device.",Open,,Medium,Chat,,,
08007,07876,00035,2021-07-25,Refund request,Peripheral compatibility,"My {product_purchased} crashed, and I lost all the data stored on it. Is there any way to recover the lost data?

I am guessing you can use other apps and get back info but it isn't as simple I'm not sure if this issue is specific to my device or if others have reported similar problems.",Pending Customer Response,,Medium,Phone,2023-06-01 11:41:38,,
08008,07877,00032,2020-06-16,Billing inquiry,Battery life,"I'm having an issue with the {product_purchased}. Please assist.


What is your solution?

The key for keeping track of what you have added to the basket is one item per basket. This method of calculation is The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,,Low,Email,2023-06-01 12:03:40,,
08009,07878,00041,2021-10-26,Refund request,Refund request,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue? This issue is related to a I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Open,,High,Email,,,
08010,07879,00037,2020-01-31,Product inquiry,Display issue,"I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?

""You can try this solution in your browser, by going to {product_p The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,,Critical,Social media,2023-06-01 23:11:41,,
